gender	age	weight	height
F	17	57.2	1.62
F	17	61.6	1.66
F	17	63.4	1.702
F	17	55	1.605
F	17	61.8	1.57
F	17	62.4	1.6
F	17	58.4	1.697
F	17	69.8	1.72
F	17	59	1.63
F	17	59.6	1.622
F	17	61	1.63
F	17	67.8	1.78
F	17	64	1.665
F	17	70.6	1.69
F	17	60.4	1.603
F	17	55.6	1.575
F	17	51.6	1.588
F	17	55.4	1.573
F	17	53.8	1.59
F	17	45	1.565
F	17	75.2	1.734
F	17	49.2	1.725
F	17	53.2	1.61
F	17	58.4	1.66
F	17	66.6	1.58
F	17	56.2	1.635
F	17	76.8	1.645
F	17	46.2	1.562
F	17	57.8	1.75
F	17	54	1.588
F	17	53	1.71
F	17	56	1.603
F	17	48.6	1.633
F	17	67.4	1.56
F	17	60.8	1.63
F	17	50	1.673
F	17	49	1.595
F	17	53.8	1.64
F	17	49.4	1.605
F	17	54.2	1.663
F	17	58.8	1.68
F	17	63	1.62
F	17	70.6	1.69
F	17	68.4	1.775
F	17	61.6	1.674
F	17	59	1.593
F	17	69	1.677
F	17	58.4	1.645
F	17	63	1.722
F	17	54.2	1.662
F	17	53.8	1.637
F	17	60.8	1.71
F	17	62	1.635
F	17	69.4	1.655
F	17	51.6	1.61
F	17	54	1.64
F	17	52	1.632
F	17	60.2	1.72
F	17	70.4	1.7
F	17	58.6	1.717
F	17	61.4	1.63
F	17	56	1.668
F	17	52.6	1.567
F	17	66.8	1.67
F	17	65.8	1.685
F	17	49.8	1.625
F	17	59	1.625
F	17	66	1.69
F	17	64.8	1.645
F	17	58.6	1.68
F	17	50.8	1.67
F	17	60.4	1.605
F	17	61.4	1.675
F	17	45	1.585
F	17	55.2	1.61
F	17	66	1.585
F	17	74.6	1.72
F	17	57.4	1.677
F	17	51.8	1.615
F	17	48.4	1.71
F	17	53	1.63
F	17	74.6	1.7
F	17	53.6	1.55
F	17	57.8	1.735
F	17	45.2	1.538
F	17	59.6	1.71
F	17	46.2	1.535
F	17	47	1.67
F	17	62	1.72
F	17	58	1.635
F	17	48.6	1.653
F	17	59.4	1.755
F	17	54.8	1.643
F	17	61.6	1.7
F	17	60	1.747
F	18	59.2	1.735
F	18	49.6	1.695
F	18	49.8	1.62
F	18	53	1.657
F	18	50	1.637
F	18	48.8	1.687
F	18	57.2	1.7
F	18	65.6	1.743
F	18	61.8	1.715
F	18	62.2	1.72
F	18	57.4	1.615
F	18	59	1.635
F	18	51.2	1.565
F	18	49.4	1.64
F	18	68	1.72
F	18	64.6	1.69
F	18	53.2	1.652
F	18	59.8	1.68
F	18	63.6	1.686
F	18	64.4	1.74
F	18	55.6	1.593
F	18	67	1.564
F	18	51.4	1.64
F	18	57	1.673
F	18	57	1.6
F	18	98	1.663
F	18	51	1.64
F	18	62.4	1.734
F	18	71	1.69
F	18	44.8	1.67
F	18	70.2	1.502
F	18	66.2	1.6
F	18	72.4	1.73
F	18	57.8	1.595
F	18	51.6	1.587
F	18	61.6	1.595
F	18	52.8	1.568
F	18	50.4	1.63
F	18	67.2	1.66
F	18	63	1.73
F	18	72.2	1.72
F	18	61.6	1.63
F	18	60.2	1.66
F	18	47	1.665
F	18	53.6	1.603
F	18	61	1.575
F	18	79.4	1.77
F	18	52.8	1.625
F	18	66.2	1.765
F	18	68.4	1.71
F	18	52.8	1.69
F	18	53.6	1.595
F	18	53.8	1.62
F	18	66.4	1.652
F	18	58.2	1.515
F	18	64	1.69
F	18	58.6	1.685
F	18	60.2	1.71
F	18	69.6	1.675
F	18	66.8	1.68
F	18	50	1.7
F	18	56.2	1.64
F	18	58	1.677
F	18	57.8	1.545
F	18	61.6	1.755
F	18	98.4	1.77
F	18	75.4	1.65
F	18	56	1.707
F	18	65	1.63
F	18	80.8	1.635
F	18	65.8	1.77
F	18	54.2	1.54
F	18	52	1.663
F	18	56.2	1.68
F	18	56.8	1.68
F	18	47.4	1.667
F	18	54.6	1.608
F	18	62.6	1.56
F	18	62.6	1.735
F	18	62	1.59
F	18	48.6	1.62
F	18	56.4	1.64
F	18	58.4	1.708
F	18	53.4	1.65
F	18	59.4	1.652
F	18	52.8	1.695
F	18	61.2	1.605
F	18	72.8	1.77
F	18	52.2	1.616
F	18	59.4	1.61
F	18	59.6	1.61
F	18	53.2	1.635
F	18	56.4	1.672
F	18	56	1.675
F	18	55.4	1.61
F	18	53.6	1.655
F	18	65.6	1.65
F	18	54	1.7
F	18	52.6	1.626
F	18	46.2	1.624
F	18	52.4	1.638
F	18	54	1.63
F	18	55.2	1.69
F	18	55.4	1.677
